Occupation,OccupationDesc
1,Agriculture
2,Food and Natural Resources
3,Architecture and Construction
4,Arts
5,Audio/Video Technology & Communications
6,Business Management & Administration
7,Education & Training 
8,Finance
9,Government & Public Administration 
10,Health Science
11,Hospitality & Tourism 
12,Human Services
13,Information Technology 
14,"Law, Public Safety, Corrections & Security "
15,Manufacturing 
16,"Marketing, Sales and Service"
17,"Science, Technology, Engineering & Mathematics "
18,"Transportation, Distribution & Logistics "
19,Student
20,Retired
